hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,reservation_status
Resort Hotel,FALSE,342,2015,July,27,1,0,0,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,C,C,3,No Deposit,FALSE,Transient,0,Check-Out
Resort Hotel,FALSE,737,2015,July,27,1,0,0,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,C,C,4,No Deposit,FALSE,Transient,0,Check-Out
Resort Hotel,FALSE,7,2015,July,27,1,0,1,1,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,A,C,0,No Deposit,FALSE,Transient,75,Check-Out
Resort Hotel,FALSE,13,2015,July,27,1,0,1,1,0,FALSE,Corporate,Corporate,FALSE,FALSE,FALSE,A,A,0,No Deposit,FALSE,Transient,75,Check-Out
Resort Hotel,FALSE,14,2015,July,27,1,0,2,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,A,A,0,No Deposit,FALSE,Transient,98,Check-Out
Resort Hotel,FALSE,14,2015,July,27,1,0,2,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,A,A,0,No Deposit,FALSE,Transient,98,Check-Out
Resort Hotel,FALSE,0,2015,July,27,1,0,2,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,C,C,0,No Deposit,FALSE,Transient,107,Check-Out
Resort Hotel,FALSE,9,2015,July,27,1,0,2,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,C,C,0,No Deposit,FALSE,Transient,103,Check-Out
Resort Hotel,TRUE,85,2015,July,27,1,0,3,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,A,A,0,No Deposit,FALSE,Transient,82,Canceled
Resort Hotel,TRUE,75,2015,July,27,1,0,3,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,105.5,Canceled
Resort Hotel,TRUE,23,2015,July,27,1,0,4,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Transient,123,Canceled
Resort Hotel,FALSE,35,2015,July,27,1,0,4,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,145,Check-Out
Resort Hotel,FALSE,68,2015,July,27,1,0,4,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,E,0,No Deposit,FALSE,Transient,97,Check-Out
Resort Hotel,FALSE,18,2015,July,27,1,0,4,2,1,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,G,G,1,No Deposit,FALSE,Transient,154.77,Check-Out
Resort Hotel,FALSE,37,2015,July,27,1,0,4,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Transient,94.71,Check-Out
Resort Hotel,FALSE,68,2015,July,27,1,0,4,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,E,0,No Deposit,FALSE,Transient,97,Check-Out
Resort Hotel,FALSE,37,2015,July,27,1,0,4,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Contract,97.5,Check-Out
Resort Hotel,FALSE,12,2015,July,27,1,0,1,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,A,E,0,No Deposit,FALSE,Transient,88.2,Check-Out
Resort Hotel,FALSE,0,2015,July,27,1,0,1,2,0,FALSE,Corporate,Corporate,FALSE,FALSE,FALSE,A,G,0,No Deposit,FALSE,Transient,107.42,Check-Out
Resort Hotel,FALSE,7,2015,July,27,1,0,4,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,G,G,0,No Deposit,FALSE,Transient,153,Check-Out
Resort Hotel,FALSE,37,2015,July,27,1,1,4,1,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,F,F,0,No Deposit,FALSE,Transient,97.29,Check-Out
Resort Hotel,FALSE,72,2015,July,27,1,2,4,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,A,A,1,No Deposit,FALSE,Transient,84.67,Check-Out
Resort Hotel,FALSE,72,2015,July,27,1,2,4,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,A,A,1,No Deposit,FALSE,Transient,84.67,Check-Out
Resort Hotel,FALSE,72,2015,July,27,1,2,4,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,D,D,1,No Deposit,FALSE,Transient,99.67,Check-Out
Resort Hotel,FALSE,127,2015,July,27,1,2,5,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,D,I,0,No Deposit,FALSE,Contract,94.95,Check-Out
Resort Hotel,FALSE,78,2015,July,27,1,2,5,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,63.6,Check-Out
Resort Hotel,FALSE,48,2015,July,27,1,2,5,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Contract,79.5,Check-Out
Resort Hotel,TRUE,60,2015,July,27,1,2,5,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Transient,107,Canceled
Resort Hotel,FALSE,77,2015,July,27,1,2,5,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,A,A,0,No Deposit,FALSE,Transient,94,Check-Out
Resort Hotel,FALSE,99,2015,July,27,1,2,5,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,87.3,Check-Out
Resort Hotel,FALSE,118,2015,July,27,1,4,10,1,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,A,A,2,No Deposit,FALSE,Transient,62,Check-Out
Resort Hotel,FALSE,95,2015,July,27,1,4,11,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,63.86,Check-Out
Resort Hotel,TRUE,96,2015,July,27,1,2,8,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Transient,108.3,Canceled
Resort Hotel,FALSE,69,2015,July,27,2,2,4,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,A,C,0,No Deposit,FALSE,Transient,65.5,Check-Out
Resort Hotel,TRUE,45,2015,July,27,2,1,3,3,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,108.8,Canceled
Resort Hotel,TRUE,40,2015,July,27,2,1,3,3,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,108.8,Canceled
Resort Hotel,FALSE,15,2015,July,27,2,1,3,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,A,C,0,No Deposit,FALSE,Transient,98,Check-Out
Resort Hotel,FALSE,36,2015,July,27,2,1,3,3,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,108.8,Check-Out
Resort Hotel,TRUE,43,2015,July,27,2,1,3,3,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Transient,108.8,Canceled
Resort Hotel,FALSE,70,2015,July,27,2,2,3,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Transient,137,Check-Out
Resort Hotel,TRUE,45,2015,July,27,2,2,3,2,0,FALSE,Online TA,TA/TO,FALSE,FALSE,FALSE,G,G,0,No Deposit,FALSE,Transient,117.81,Canceled
Resort Hotel,FALSE,45,2015,July,27,2,2,3,2,0,FALSE,Offline TA/TO,TA/TO,FALSE,FALSE,FALSE,D,D,0,No Deposit,FALSE,Contract,79.5,Check-Out
Resort Hotel,FALSE,16,2015,July,27,2,2,3,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,F,F,0,No Deposit,FALSE,Transient,123,Check-Out
Resort Hotel,FALSE,70,2015,July,27,2,2,3,2,0,FALSE,Direct,Direct,FALSE,FALSE,FALSE,E,E,0,No Deposit,FALSE,Transient,137,Check-Out
