Review,Sentiment
xuất sắc,1
rất hài lòng,1
mất tiền,0
xấu,0
không tốt,0
xấu,0
tuyệt vời,1
khó sử dụng,0
thú vị,1
xấu,0
không đáng,0
đáng giá,1
kém,0
không đáng,0
khuyên bạn nên mua,1
kém,0
không hài lòng,0
yêu thích,1
xuất sắc,1
kém chất lượng,0
khó sử dụng,0
xấu,0
thú vị,1
hài lòng,1
thất vọng,0
rất hài lòng,1
rất hài lòng,1
không tốt,0
kém,0
kém chất lượng,0
khuyên bạn nên mua,1
yêu thích,1
thất vọng,0
mất tiền,0
hài lòng,1
khó sử dụng,0
mất tiền,0
sang trọng,1
tệ,0
kém,0
sang trọng,1
mất tiền,0
tuyệt hảo,1
xuất sắc,1
hài lòng,1
không tốt,0
không đáng,0
không đáng,0
xấu,0
dễ sử dụng,1
khó sử dụng,0
rất hài lòng,1
mất tiền,0
dễ sử dụng,1
thú vị,1
tệ,0
tệ,0
khó sử dụng,0
xấu,0
hài lòng,1
kém chất lượng,0
mất tiền,0
kém,0
không đáng,0
hoàn hảo,1
không đáng,0
tuyệt vời,1
rất hài lòng,1
sang trọng,1
mất tiền,0
hoàn hảo,1
đáng giá,1
sẽ mua lại,1
sẽ mua lại,1
dễ sử dụng,1
sang trọng,1
kém chất lượng,0
dễ sử dụng,1
thất vọng,0
khuyên bạn nên mua,1
xấu,0
đáng giá,1
không đáng,0
hài lòng,1
rất hài lòng,1
tuyệt vời,1
tệ,0
thú vị,1
dễ sử dụng,1
khuyên bạn nên mua,1
mất tiền,0
dễ sử dụng,1
rất hài lòng,1
không đáng,0
xuất sắc,1
rất hài lòng,1
tệ,0
thất vọng,0
thất vọng,0
tuyệt vời,1
khó sử dụng,0
rất hài lòng,1
tệ,0
rất hài lòng,1
sang trọng,1
xuất sắc,1
không đáng,0
xấu,0
không hài lòng,0
kém chất lượng,0
không tốt,0
xuất sắc,1
tệ,0
tuyệt hảo,1
rất hài lòng,1
mất tiền,0
không đáng,0
không đáng,0
tệ,0
yêu thích,1
sang trọng,1
sang trọng,1
đáng giá,1
hoàn hảo,1
yêu thích,1
thú vị,1
tệ,0
rất hài lòng,1
thất vọng,0
tuyệt vời,1
mất tiền,0
xuất sắc,1
thất vọng,0
yêu thích,1
yêu thích,1
khó sử dụng,0
tệ,0
kém,0
kém,0
mất tiền,0
hài lòng,1
sang trọng,1
mất tiền,0
rất hài lòng,1
tệ,0
xấu,0
kém,0
hài lòng,1
không hài lòng,0
kém chất lượng,0
hoàn hảo,1
hoàn hảo,1
sẽ mua lại,1
sang trọng,1
xấu,0
không hài lòng,0
khuyên bạn nên mua,1
tuyệt hảo,1
sang trọng,1
không hài lòng,0
tuyệt vời,1
hài lòng,1
xấu,0
dễ sử dụng,1
tệ,0
tuyệt vời,1
không tốt,0
kém,0
hài lòng,1
kém chất lượng,0
đáng giá,1
đáng giá,1
không hài lòng,0
khuyên bạn nên mua,1
khuyên bạn nên mua,1
không hài lòng,0
tệ,0
thú vị,1
khó sử dụng,0
kém chất lượng,0
kém chất lượng,0
khuyên bạn nên mua,1
thú vị,1
rất hài lòng,1
kém chất lượng,0
không hài lòng,0
sang trọng,1
thú vị,1
không hài lòng,0
hoàn hảo,1
xấu,0
thất vọng,0
dễ sử dụng,1
kém chất lượng,0
tuyệt hảo,1
hài lòng,1
không đáng,0
sẽ mua lại,1
hoàn hảo,1
sang trọng,1
xuất sắc,1
tuyệt hảo,1
tệ,0
khó sử dụng,0
hoàn hảo,1
không hài lòng,0
kém chất lượng,0
khó sử dụng,0
dễ sử dụng,1
sang trọng,1
hài lòng,1
dễ sử dụng,1
tuyệt hảo,1
sang trọng,1
kém,0
đáng giá,1
thú vị,1
không tốt,0
sang trọng,1
không tốt,0
không đáng,0
tuyệt hảo,1
không đáng,0
khó sử dụng,0
không hài lòng,0
rất hài lòng,1
tệ,0
hoàn hảo,1
thất vọng,0
tuyệt vời,1
kém chất lượng,0
khuyên bạn nên mua,1
dễ sử dụng,1
kém,0
hoàn hảo,1
kém chất lượng,0
hài lòng,1
tuyệt vời,1
yêu thích,1
không tốt,0
khuyên bạn nên mua,1
tệ,0
không tốt,0
không tốt,0
tệ,0
đáng giá,1
thú vị,1
không đáng,0
hài lòng,1
tuyệt hảo,1
sang trọng,1
thất vọng,0
không tốt,0
tệ,0
đáng giá,1
không đáng,0
dễ sử dụng,1
khó sử dụng,0
tuyệt vời,1
hài lòng,1
sang trọng,1
không hài lòng,0
sẽ mua lại,1
kém chất lượng,0
mất tiền,0
tuyệt hảo,1
sang trọng,1
kém chất lượng,0
khuyên bạn nên mua,1
thú vị,1
dễ sử dụng,1
khuyên bạn nên mua,1
khó sử dụng,0
xấu,0
kém chất lượng,0
tuyệt vời,1
xấu,0
đáng giá,1
hài lòng,1
kém,0
kém,0
mất tiền,0
không đáng,0
hoàn hảo,1
tuyệt hảo,1
không hài lòng,0
sẽ mua lại,1
tệ,0
đáng giá,1
không tốt,0
mất tiền,0
thú vị,1
hoàn hảo,1
kém chất lượng,0
đáng giá,1
hoàn hảo,1
rất hài lòng,1
tuyệt vời,1
không hài lòng,0
yêu thích,1
hài lòng,1
không hài lòng,0
xấu,0
đáng giá,1
tuyệt hảo,1
xấu,0
không tốt,0
thất vọng,0
sang trọng,1
xấu,0
kém,0
hài lòng,1
không hài lòng,0
kém,0
không hài lòng,0
không đáng,0
không hài lòng,0
kém,0
thất vọng,0
không hài lòng,0
xuất sắc,1
tuyệt hảo,1
hài lòng,1
sang trọng,1
không tốt,0
tuyệt hảo,1
hoàn hảo,1
rất hài lòng,1
xuất sắc,1
yêu thích,1
mất tiền,0
kém chất lượng,0
tuyệt vời,1
đáng giá,1
mất tiền,0
không hài lòng,0
tệ,0
tệ,0
kém,0
thất vọng,0
tệ,0
tuyệt vời,1
tệ,0
tệ,0
yêu thích,1
tuyệt hảo,1
thất vọng,0
tuyệt hảo,1
khuyên bạn nên mua,1
sang trọng,1
tệ,0
khuyên bạn nên mua,1
tuyệt vời,1
thú vị,1
thú vị,1
sẽ mua lại,1
xấu,0
không tốt,0
sẽ mua lại,1
xấu,0
tuyệt hảo,1
kém,0
không hài lòng,0
tuyệt vời,1
thất vọng,0
kém chất lượng,0
khuyên bạn nên mua,1
kém chất lượng,0
không đáng,0
sang trọng,1
hài lòng,1
sẽ mua lại,1
tuyệt hảo,1
kém,0
rất hài lòng,1
không đáng,0
kém chất lượng,0
không hài lòng,0
khó sử dụng,0
thú vị,1
xuất sắc,1
hài lòng,1
khuyên bạn nên mua,1
tuyệt vời,1
hoàn hảo,1
mất tiền,0
xấu,0
xấu,0
xấu,0
khuyên bạn nên mua,1
không tốt,0
mất tiền,0
không hài lòng,0
đáng giá,1
không hài lòng,0
tuyệt vời,1
không đáng,0
tuyệt vời,1
hoàn hảo,1
tệ,0
kém,0
thất vọng,0
không hài lòng,0
mất tiền,0
tệ,0
sang trọng,1
không hài lòng,0
sẽ mua lại,1
rất hài lòng,1
khó sử dụng,0
yêu thích,1
khó sử dụng,0
tuyệt hảo,1
hài lòng,1
hài lòng,1
khuyên bạn nên mua,1
tuyệt vời,1
